pixel,Wavelength,Flux
154,3764.5,19.342367941712205
803,4119.5,111.03346083788706
1325,4405.0,117.32103825136612
1541,4523.0,243.74448087431693
1741,4632.5,189.9976320582878
1934,4738.0,353.03189435336975
3806,5762.0,109.45632058287796
