pixel,Wavelength,Flux
318,5885.5,327.87650273224045
3590,7582.0,6509.08387978142
3626,7601.0,21002.939344262297
3657,7617.0,330.80737704918033
3786,7684.0,1883.3382513661202
3812,7697.0,2883.7693989071036
