pixel,Wavelength,Flux
1058,4258.5,35.0864480874317
1139,4303.0,55.68191256830601
1377,4433.0,13.966666666666667
1395,4443.0,21.757267759562843
1464,4481.0,18.78846994535519
3430,5556.5,326.43092896174863
