pixel,Wavelength,Flux
2371,6950.0,6647.5303278688525
2566,7051.0,2250.6765027322404
2966,7258.5,1833.435519125683
3184,7371.5,4832.122404371585
3422,7495.0,6112.392349726776
3444,7506.5,4444.767486338797
3691,7634.5,20533.175683060108
3868,7726.5,11306.574590163935
