pixel,Wavelength,Flux
2370,6949.5,9040.18524590164
2567,7051.5,8662.570491803279
3185,7372.0,14384.293442622951
3423,7495.5,25895.031147540984
3443,7506.0,16532.01475409836
3689,7633.5,25021.170491803277
3868,7726.5,19675.724590163933
