pixel,Wavelength,Flux
154,3764.5,25.25391621129326
803,4119.5,121.60318761384336
1325,4405.0,136.34690346083786
1541,4523.0,277.44573770491803
1741,4632.5,215.7789617486339
1934,4738.0,400.1119672131148
3806,5762.0,156.62803278688523
