pixel,Wavelength,Flux
456,5957.0,16228.968852459016
514,5987.0,4237.663934426229
1274,6381.0,59732.352459016394
1825,6667.0,52034.54262295082
1900,6705.5,35612.04426229509
2311,6919.0,54398.124590163934
2504,7019.0,156718.23934426229
2904,7226.5,88818.62131147542
3284,7423.5,30619.839344262295
3487,7528.5,4240.209836065574
3504,7537.5,1881.039344262295
