pixel,Wavelength,Flux
2370,6949.5,8972.032513661201
2567,7051.5,8863.496994535519
3185,7372.0,12949.413387978142
3423,7495.5,18147.73606557377
3443,7506.0,14479.711475409837
3689,7633.5,21432.223224043715
3868,7726.5,16592.842076502733
