pixel,Wavelength,Flux
2370,6949.5,9170.753005464481
2567,7051.5,9085.20819672131
3185,7372.0,13186.036612021857
3423,7495.5,18398.589890710384
3443,7506.0,14703.857650273223
3689,7633.5,21817.804918032787
3868,7726.5,16871.55519125683
