pixel,Wavelength,Flux
129,5787.5,1110.259198542805
175,5811.0,2086.7451730418943
2262,6893.5,100.51566484517303
2373,6951.0,150.60892531876138
2567,7051.5,38.503096539162115
2697,7119.0,56.918943533697636
3422,7495.0,123.63770491803278
3687,7632.5,456.89872495446264
3867,7726.0,246.4752276867031
