pixel,Wavelength,Flux
456,5957.0,17979.16393442623
514,5987.0,4740.360655737705
1274,6381.0,69720.26229508196
1825,6667.0,59358.95081967213
1900,6705.5,40496.70491803279
2311,6919.0,62352.29508196721
2504,7019.0,302692.2786885246
2904,7226.5,129274.24590163934
3284,7423.5,34185.0
3487,7528.5,4741.983606557377
3504,7537.5,2094.3934426229507
